Customer_ID,Gender,Age,Emirate,Foot_Length_cm,Foot_Width_cm,Arch_Height,Shoe_Size_UAE,Preferred_Style,Color_Preference,Customization_Option,Material_Preference,Shopping_Channel,Virtual_TryOn_Score,Ordered,Delivery_Time_days,Fit_Satisfaction_Score,Comfort_Score,Return_Flag,Plus_Size
1,M,46,Dubai,28.4,12.3,Normal,41,Heels,Brown,Initials,Canvas,Online,0.99,Y,8,5,5,N,N
2,F,39,Dubai,23.1,9.8,Normal,36,Boots,Blue,Wide Fit,Mesh,Online,0.81,Y,7,5,1,N,N
3,F,26,Dubai,23.4,9.3,Normal,38,Sandals,Red,Initials,Mesh,Online,0.9,Y,8,5,5,N,N
4,M,27,Fujairah,28.2,11.8,Low,41,Boots,Green,None,Synthetic,Online,0.85,Y,4,2,2,Y,N
5,M,18,Dubai,23.7,10.1,Normal,38,Sandals,Gold,None,Vegan,Online,0.97,Y,4,5,5,N,N
6,F,54,Sharjah,25.5,10.3,Normal,39,Heels,Blue,None,Vegan,Online,0.85,Y,9,5,5,N,N
7,M,49,Sharjah,27.7,9.6,High,40,Sandals,Brown,None,Canvas,Online,0.98,Y,8,4,4,N,N
8,F,37,Fujairah,22.3,10.6,High,35,Sports,Red,Wide Fit,Canvas,Online,0.96,Y,9,5,5,N,N
9,M,50,Dubai,28.4,11.1,Normal,43,Sneakers,Red,Initials,Mesh,Online,0.9,Y,3,1,1,N,N
10,M,40,Dubai,27.8,11.0,Low,41,Boots,Beige,None,Mesh,Online,0.87,Y,8,5,5,N,N
11,F,28,Ajman,23.8,10.0,Normal,38,Boots,Brown,Embroidery,Canvas,Offline,0.87,Y,3,4,4,N,N
12,F,18,Sharjah,25.1,9.3,Normal,39,Loafers,Blue,Initials,Vegan,Offline,0.9,Y,3,5,5,N,N
13,F,26,Dubai,25.7,10.1,High,40,Boots,Red,Initials,Mesh,Online,0.87,Y,3,5,2,Y,N
14,M,58,Dubai,27.0,11.2,Normal,40,Sandals,Red,Wide Fit,Mesh,Online,0.93,Y,8,1,1,N,N
